patientid,min,mean,max,std
dsb_42b2161e43b4dd0ea94604485976c59c.npz,0.00066,0.66888,0.99985,0.40781
dsb_9ba5fbcccfbc9e08edcfe2258ddf7178.npz,0.00241,0.48747,0.99988,0.43996
dsb_7b24367c58f1737e901dde9a934d1eb1.npz,0.00140,0.71490,0.99988,0.37767
dsb_a0fc609febe3eef5a4713a22996cf8e5.npz,0.00203,0.41119,0.99987,0.30065
dsb_54056288ab97cebc4b0ea33c23f47ff6.npz,0.00195,0.66188,0.99988,0.37108
dsb_8c5288b86ffcd597f10d639e9948411d.npz,0.00180,0.71936,0.99981,0.38256
dsb_1183f213c1c821df18aad63890920403.npz,0.00130,0.53189,0.99988,0.43820
dsb_0c60f4b87afcb3e2dfa65abbbf3ef2f9.npz,0.00122,0.59050,0.99984,0.38117
dsb_5ae03fb6d9959aa93d1177cfd70cf760.npz,0.00147,0.65471,0.99988,0.42527
dsb_c05acf3bd59f5570783138c01b737c3d.npz,0.00228,0.64199,0.99988,0.36473
dsb_4419818b57ef8b0f8d6d95594adab922.npz,0.00169,0.57086,0.99988,0.36419
dsb_934f01786c3bdf8eeaf7d8411a3a8f82.npz,0.00091,0.41283,0.99986,0.44639
dsb_48713d11ced3c60a531e6e80258d6425.npz,0.00115,0.68038,0.99985,0.40615
dsb_ac9c16f3f287f0e0b321fb518ac71c75.npz,0.00140,0.70193,0.99988,0.37653
dsb_aa55708fcc8bf27b605bcd2fca0dc991.npz,0.00126,0.62982,0.99984,0.39929
dsb_a853993fd839a0ee61f2ca73c4e497a6.npz,0.00100,0.68972,0.99986,0.39359
dsb_668bb968918c63fad7d65581825b1048.npz,0.00118,0.60784,0.99985,0.41408
dsb_4aea6c3360cd923d25f33ec5b5e643bc.npz,0.00164,0.46713,0.99988,0.44898
dsb_bd702368c252929cf701ad56ce64b6e1.npz,0.00083,0.67802,0.99979,0.40459
dsb_a26bba2936f12f19893e54b40e0759fe.npz,0.00128,0.58028,0.99987,0.44103
dsb_c545ccf3a5128fdc313ed936f61658a6.npz,0.00140,0.46100,0.99986,0.45078
dsb_5451203688c930484ba1f3c7f1378847.npz,0.00160,0.55726,0.99988,0.44739
dsb_6541df84fd779ba6513a530c128f4e9b.npz,0.00185,0.72295,0.99986,0.36284
dsb_e4436b5914162ff7efea2bdfb71c19ae.npz,0.00135,0.62670,0.99987,0.42612
dsb_661ffa992ed2c23c37f1e7b82dc834d7.npz,0.00132,0.50464,0.99988,0.43759
dsb_c7b20bdbf5f057ec1e9706ca43bf9a2f.npz,0.00163,0.68618,0.99988,0.39119
dsb_6b4837a316e688d0ba125cc1e545d383.npz,0.00208,0.50422,0.99988,0.44784
dsb_be2be08151ef4d3aebd3ea4fcd5d364b.npz,0.00195,0.50808,0.99988,0.35238
dsb_5ae60d42ec7eb7a79ce9a72967cbb6aa.npz,0.00152,0.50403,0.99987,0.43379
dsb_3295cec04482210dc6f78c2b4a1d287b.npz,0.00217,0.48176,0.99986,0.34528
dsb_3d4e602819dca0f5eb48953841ff11d6.npz,0.00169,0.73980,0.99987,0.36620
dsb_edbf53a8478049de1494b213fdf942e6.npz,0.00152,0.62354,0.99988,0.42272
dsb_d9fb9617188fe99bdb464c126d2bd8c0.npz,0.00220,0.47701,0.99986,0.35543
dsb_348a53f500ada390ddd00cc47d310b2c.npz,0.00137,0.54626,0.99988,0.44979
dsb_24031ba88c58797148475f6d4d5a085b.npz,0.00118,0.43779,0.99985,0.45086
dsb_ed49b57854f5580658fb3510676e03dd.npz,0.00217,0.69001,0.99988,0.37322
dsb_c24dfc6534bc563d5aecb1513fea8f7f.npz,0.00161,0.70234,0.99989,0.36200
dsb_e67bc6cd24a71a486b626592d591a2da.npz,0.00159,0.71869,0.99985,0.37774
dsb_66b7666912e1d469cd9817a1cade694c.npz,0.00207,0.72804,0.99988,0.37566
dsb_573a661e2d784f9385a3b78c9757ddad.npz,0.00125,0.60515,0.99988,0.43401
dsb_88523579f4e325351665753e903cfdf5.npz,0.00108,0.29301,0.99986,0.41417
dsb_2d81a9e760a07b25903a8c4aeb444eca.npz,0.00156,0.75799,0.99987,0.35492
dsb_4209cb1fbce28cd68da900eb9bef26b3.npz,0.00135,0.58535,0.99988,0.41339
dsb_8fe50e522e082c3752a0814da32f7e4c.npz,0.00118,0.65806,0.99987,0.39682
dsb_f17867cc3e579dc2fc6f0334bc43a91d.npz,0.00166,0.50851,0.99989,0.44879
dsb_94df6d1ae21c5bfaebe6f8daf8fcd85b.npz,0.00152,0.74072,0.99985,0.36478
dsb_202898fa97c5949fbdc07ae7ff1cd9f0.npz,0.00131,0.63181,0.99987,0.41696
dsb_c610439ebef643c7fd4b30de8088bb55.npz,0.00102,0.56717,0.99987,0.40524
dsb_2117642550461db380a019bbd10a95e5.npz,0.00152,0.60619,0.99988,0.43040
dsb_d81704ee56c124cc1434640918a3299c.npz,0.00125,0.67022,0.99988,0.40628
dsb_a34714908825a61a229bf1457c21ff1f.npz,0.00129,0.56661,0.99986,0.43340
dsb_135f21a84ac903a1d8dfbb0dfe46d792.npz,0.00168,0.69716,0.99988,0.36693
dsb_5267ea7baf6332f29163064aecf6e443.npz,0.00065,0.47777,0.99985,0.43746
dsb_8f517521a2ed576e853fab1907fa5ffd.npz,0.00072,0.74181,0.99981,0.37910
dsb_245fe0c86269602b0dab44c345b0b412.npz,0.00158,0.51468,0.99988,0.45209
dsb_bb8393e219a2d5e3f8a183da638cc210.npz,0.00199,0.74058,0.99988,0.34482
dsb_f5713e8c98ef5378ea678fb8d9192e13.npz,0.00144,0.68576,0.99987,0.36989
dsb_2f4645c27f9806daffe7e9d013b4b7eb.npz,0.00170,0.66439,0.99988,0.42740
dsb_beb2f21fa785f088469a4530784e9d81.npz,0.00178,0.57898,0.99988,0.43148
dsb_b8793dbd40de88c0de0913abbaab0fe7.npz,0.00096,0.72750,0.99987,0.38736
dsb_b3854df98b8325a98f7b48bbaf24bb02.npz,0.00171,0.64506,0.99987,0.42553
dsb_63d907adcf3f12349a0c2c8921d38e89.npz,0.00155,0.58714,0.99987,0.35598
dsb_ba162711fc958842582ef1828d37f8e0.npz,0.00170,0.64246,0.99987,0.36887
dsb_6fd3af9174242c1b393fe4ba515e7a26.npz,0.00110,0.27647,0.99984,0.25323
dsb_184c61740244f4ce8fb985af9bb3d8e8.npz,0.00083,0.51198,0.99975,0.43477
dsb_5278093ed7187e1a8be518d954509da7.npz,0.00138,0.45744,0.99988,0.43326
dsb_fe5c37e82b412833b8ad0abb57978377.npz,0.00169,0.71990,0.99988,0.38046
dsb_14c534e0b7c3176d9106c6215d0aa8c6.npz,0.00137,0.65880,0.99988,0.41087
dsb_2dabff545dbfcb9e0efd92220c6aebcc.npz,0.00067,0.53951,0.99977,0.43208
dsb_04e5d435fa01b0958e3274be73312cac.npz,0.00097,0.64535,0.99986,0.40064
dsb_3d2b2b0fa9697b298fbbc033481cdcc4.npz,0.00133,0.60028,0.99988,0.43588
dsb_d2282b0eb61b8d3b090cf8eb76776529.npz,0.00143,0.20683,0.99985,0.36331
dsb_540dbb66efa0f76499464689756e69f4.npz,0.00095,0.54520,0.99985,0.39936
dsb_12db1ea8336eafaf7f9e3eda2b4e4fef.npz,0.00110,0.45729,0.99986,0.44929
dsb_fa45178d023325b255a3d4fc3e96cb7d.npz,0.00144,0.66318,0.99988,0.39449
dsb_b3f57de0b4ad4dfae87698ef8fc67e23.npz,0.00133,0.68320,0.99986,0.39894
dsb_775c5f8043e72b2284b5885254566271.npz,0.00202,0.39097,0.99985,0.28401
dsb_9462c59a652187dc2d581b8772bcb3f0.npz,0.00137,0.57913,0.99987,0.35890
dsb_5a57009fcdea02d30d31a47d2454dc29.npz,0.00108,0.67624,0.99986,0.37400
dsb_7a705cc36536145911a2ef9ace7d9930.npz,0.00159,0.67601,0.99987,0.39901
dsb_db7c113445db32f9beaf5dc90e7218ad.npz,0.00152,0.73005,0.99987,0.36495
dsb_11616de262f844e6542d3c65d9238b6e.npz,0.00163,0.40744,0.99989,0.43902
dsb_8ad1af382994ce945a5034fab202d402.npz,0.00163,0.69166,0.99985,0.37263
dsb_10a9c32039971eb12f3aecf76ac20f8c.npz,0.00070,0.59736,0.99984,0.40440
dsb_d51dffd06b80ed003aa6095b0639f511.npz,0.00117,0.59168,0.99986,0.43698
dsb_f3d40bbf94a7951dee3b0028e301a126.npz,0.00125,0.61271,0.99988,0.38055
dsb_cbb9bbd994c235b56fb77429291edf99.npz,0.00115,0.54414,0.99988,0.44450
dsb_587d6230f2bad2525c47632fd792a895.npz,0.00188,0.48126,0.99989,0.44515
dsb_344ab37041900393b5498bdda6f43cac.npz,0.00167,0.67092,0.99988,0.39006
dsb_8a8419bb3048294f69a31de36cd35a98.npz,0.00085,0.57495,0.99986,0.44115
dsb_0c59313f52304e25d5a7dcf9877633b1.npz,0.00236,0.48015,0.99987,0.32342
dsb_dc66d11755fd073a59743d0df6b62ee2.npz,0.00092,0.73385,0.99985,0.38687
dsb_28824d52b6425841bb263393c3211693.npz,0.00141,0.49805,0.99987,0.39105
dsb_3a1a293ecad44010da9907bfc91d94cd.npz,0.00183,0.74854,0.99988,0.37320
dsb_506b07466777f6c6f4dd50a42896a2c4.npz,0.00085,0.42867,0.99981,0.39163
dsb_19d95b5828aeba8073fcbb12979f312b.npz,0.00166,0.57052,0.99988,0.43769
dsb_90e3b396e1c1343a514eb5890833d3d8.npz,0.00111,0.55268,0.99983,0.45021
dsb_5a06cb92ba004e2265ab087b5b09e33a.npz,0.00114,0.63831,0.99984,0.38338
dsb_84876a50f52476bcc2a63678257ae8b4.npz,0.00132,0.64711,0.99988,0.38944
dsb_a79e929f408cf0fe31f8e3a0904b6d93.npz,0.00130,0.59795,0.99985,0.43729
dsb_c0f0eb84e70b19544943bed0ea6bd374.npz,0.00211,0.62450,0.99988,0.42799
dsb_375a52b012066845a2eeb5032a92fc6b.npz,0.00182,0.45391,0.99987,0.44633
dsb_96acca47671874c41de6023942e10c16.npz,0.00119,0.45957,0.99987,0.45020
dsb_74b3ef4c2125d636980a19754702dbb9.npz,0.00188,0.64792,0.99987,0.37270
dsb_3b59edf7e74fcff927c912efc0e80f3a.npz,0.00108,0.36417,0.99988,0.43221
dsb_95a27273c11db8bfb9fc27b1e64de6bd.npz,0.00152,0.60700,0.99988,0.37446
dsb_c84e28d37dcc14a268b760bf16213cfa.npz,0.00172,0.65680,0.99988,0.40000
dsb_00cba091fa4ad62cc3200a657aeb957e.npz,0.00177,0.72341,0.99988,0.37533
dsb_fd7c0fb3c0e764357aa58e5f047be614.npz,0.00169,0.71917,0.99988,0.38455
dsb_a2f41e283f3c797e85c0b9d63453b365.npz,0.00131,0.72047,0.99985,0.39995
dsb_797d6bffdecfc88e990e820dc5771a0b.npz,0.00127,0.64284,0.99986,0.40675
dsb_08acb3440eb23385724d006403feb585.npz,0.00075,0.29024,0.99982,0.41458
dsb_bf56e271a2aa37625192954157e9f64d.npz,0.00081,0.61143,0.99986,0.40313
dsb_d753676c2c6c8ac6f97bd61ecab7554a.npz,0.00117,0.65326,0.99988,0.40461
dsb_b5c041f7d841532ef778fd5e71309cc2.npz,0.00153,0.52542,0.99988,0.44222
dsb_d36b2cb1cac4b31476c6f86eb1227d3c.npz,0.00119,0.52566,0.99988,0.44438
dsb_0679e5fd67b7441b8094494033f3881f.npz,0.00104,0.66481,0.99988,0.38410
dsb_512397206b42f1f8d009113511ae2937.npz,0.00162,0.61509,0.99987,0.36872
dsb_a9c1d12dabcd5f5b13d2aad47e443684.npz,0.00162,0.42868,0.99988,0.44189
dsb_e3bc0a970a4af5d52826e06742f90e5b.npz,0.00191,0.40765,0.99988,0.43813
dsb_6d60c26d7d35ffd967127b380ff01c12.npz,0.00184,0.74798,0.99988,0.35732
dsb_f52bd66210db45189027991781e1162b.npz,0.00082,0.37361,0.99983,0.44236
dsb_2fd66be0a5e07b8bd4be1d8169cd846f.npz,0.00140,0.62150,0.99985,0.37633
dsb_fb52dd8152e53a4ca7da5403d6d0db13.npz,0.00176,0.62439,0.99988,0.41441
dsb_36dcb6b7463ada9ed78ce902d6f8ddc2.npz,0.00130,0.64882,0.99988,0.41106
dsb_197e035d3aed52b5a2a0de3ee4d5fcea.npz,0.00161,0.62715,0.99985,0.37510
dsb_d00ee8f03fb00562b2db35e90536ffc1.npz,0.00136,0.66751,0.99987,0.38337
dsb_56d38d6863fd160da38b15bf12f0ed64.npz,0.00150,0.73666,0.99987,0.37626
dsb_f029c73f6f8753e7447c4e9f22e917ad.npz,0.00182,0.71360,0.99986,0.37876
dsb_a784a51caee14229d46777f2a9770a5f.npz,0.00217,0.72681,0.99988,0.35655
dsb_086f95a932c83faed289854083f48831.npz,0.00115,0.65529,0.99988,0.42027
dsb_8326bb56a429c54a744484423a9bd9b5.npz,0.00109,0.64547,0.99980,0.41967
dsb_b2f99ba5baa498246add63b1acf62cd4.npz,0.00097,0.71127,0.99986,0.38726
dsb_01de8323fa065a8963533c4a86f2f6c1.npz,0.00083,0.32290,0.99985,0.35400
dsb_83463d2951670b7e8c3efd7594a13e10.npz,0.00106,0.36278,0.99987,0.43091
dsb_a1b021261acaa7ffedfe15d2c8380de1.npz,0.00159,0.62557,0.99988,0.39754
dsb_d6d5ed3055d084a6abf0f97af3fe2ff0.npz,0.00158,0.61639,0.99987,0.40544
dsb_3f37745d6516c29c597b797c50fe7839.npz,0.00104,0.57896,0.99982,0.43800
dsb_4e9c2cbf385db44b6f5e6618f47318d9.npz,0.00113,0.49470,0.99988,0.44147
dsb_0092c13f9e00a3717fdc940641f00015.npz,0.00099,0.51874,0.99985,0.38594
dsb_3457880b1a66030feb8adaed6da805af.npz,0.00150,0.50184,0.99989,0.44063
dsb_64a5a866461a3b6006efb0075e04dffe.npz,0.00116,0.33190,0.99987,0.42044
dsb_d4e5c5bf1871b85914168ea12ed579a3.npz,0.00176,0.67576,0.99986,0.38432
dsb_0c37613214faddf8701ca41e6d43f56e.npz,0.00067,0.61887,0.99981,0.41461
dsb_9560214767e1257dc97c5103a27f1d2c.npz,0.00072,0.66409,0.99979,0.41210
dsb_4842c8c0a3f387effde44cb9b3d3fd2e.npz,0.00119,0.50853,0.99988,0.44456
dsb_1615ace332b9d79be4e0e9fa32c71e9e.npz,0.00200,0.67334,0.99987,0.40197
dsb_2615d445b6d3865407d1a4422d25058e.npz,0.00148,0.42470,0.99988,0.43909
dsb_df8614fd49a196123c5b88584dd5dd65.npz,0.00161,0.48981,0.99988,0.43672
dsb_8e0624a689e8e02dbae149771f51f8ca.npz,0.00112,0.53772,0.99988,0.42328
dsb_d6fe4bdde1a2cc3dc4efe22becfe22fd.npz,0.00160,0.44555,0.99988,0.44048
dsb_de4d3724030397e71d2ac2ab16df5fba.npz,0.00132,0.69304,0.99988,0.39858
dsb_750c11a0a87833e0bb26441b52b51399.npz,0.00200,0.68823,0.99988,0.39708
dsb_6d75fe2462284150249a04d78781189e.npz,0.00097,0.60058,0.99987,0.37922
dsb_185bc9d9fa3a58fea90778215c69d35b.npz,0.00171,0.50267,0.99988,0.45065
dsb_762d3d698144370d197a7b9bc978d6c9.npz,0.00063,0.56240,0.99979,0.44811
dsb_53087ef723e2433ad0b8041e408c6f8c.npz,0.00166,0.68229,0.99988,0.39448
dsb_7daeb8ef7307849c715f7f6f3e2dd88e.npz,0.00116,0.68211,0.99989,0.37019
dsb_281bb28a077ccfcd40ce4a543a5aea89.npz,0.00135,0.70798,0.99987,0.38341
dsb_33387bea2cacf6127035cc7033036a02.npz,0.00171,0.58749,0.99988,0.43185
dsb_39ebb8121ea6faec0405a4e8db883b55.npz,0.00147,0.32395,0.99987,0.41132
dsb_d987c00ec5463a0a696991b72d934512.npz,0.00137,0.66224,0.99988,0.41605
dsb_b022a1d30d62ef2c1f0902f1a047a845.npz,0.00104,0.69555,0.99982,0.39307
dsb_82b9fb9e238397b2f3bff98975577ff9.npz,0.00184,0.66814,0.99987,0.41024
dsb_c46c3962c10e287f1c1e3af0d309a128.npz,0.00158,0.38310,0.99986,0.31428
dsb_b229a7697c3efcd6ab82f6f19aff8e8b.npz,0.00114,0.19134,0.99985,0.36302
dsb_60638c0dcee9e5adfcac3b4f57d1366f.npz,0.00174,0.53859,0.99988,0.43096
dsb_09d7c4a3e1076dcfcae2b0a563a28364.npz,0.00181,0.67236,0.99987,0.39711
dsb_79e7773230a96a6789c2c64ec39312cb.npz,0.00099,0.57963,0.99983,0.44081
dsb_bb4b43d0dc4d9d2b61150df6556f6490.npz,0.00144,0.57526,0.99988,0.44501
dsb_0fe9dd36f4dece7f4ec017433c4d4a50.npz,0.00164,0.62437,0.99986,0.36525
dsb_8f28d220d960b67f799479f319373c21.npz,0.00237,0.46902,0.99987,0.32374
dsb_8369f716ca2d51c934e7f6d44cb156e9.npz,0.00177,0.60132,0.99988,0.37657
dsb_a6c15206edadab0270898f03e770d730.npz,0.00161,0.68704,0.99987,0.38874
dsb_9f49140c0447a0c3108ba3591b11958f.npz,0.00136,0.34364,0.99985,0.29701
dsb_699e4f02a11a33930a14b13071d24eb0.npz,0.00155,0.44815,0.99987,0.34607
dsb_b4db5b96c65a668a2e63f9a3ed36afe7.npz,0.00160,0.26135,0.99988,0.39572
dsb_72ed4046708e5607eb0a5703905438ee.npz,0.00179,0.74387,0.99988,0.35635
dsb_f79681d8561b6443a5b95f78f3ea6411.npz,0.00147,0.67918,0.99987,0.37603
dsb_ac366a2168a4d04509693b7e5bcf3cce.npz,0.00096,0.62912,0.99985,0.41651
dsb_caa6c81b74054858772bda6c2a0e8ee6.npz,0.00154,0.58876,0.99988,0.38210
dsb_65dd5d9d5b894e5f0ac3bd6c1384c46a.npz,0.00132,0.66097,0.99988,0.39019
dsb_2bf773632e786951d6d594939e6f4713.npz,0.00136,0.62877,0.99988,0.41841
dsb_b769e3486463214cf631bf7ab6655801.npz,0.00201,0.61290,0.99988,0.36114
dsb_39dc5f09d7b8eeda7f2f02c86f53247d.npz,0.00138,0.51103,0.99986,0.44911
